Canonical_Place	Merge_Into	Aliases
..		.., Alborough, Alborow, Alborowe, Alborowgh, Alburgh, Albury, Aldburgh, Aldeburgh, B, Biscay, Biscoy, Biskaya, Byscay, Byskay, Grace, Grone, Ley, Ley.., Not localized, not localized, Undurcroft, Unknown
[Venice]		[Venice]
Abarragh		Abarragh, Abbaragh
Aberdeen		Aberdeen, Aburden, Aburden in Scocia, Aburdyn in Scocia
Ablenese		Ablenese
Ailesford		Ailesford, Ailesforth, Alesford, Aylesford, Aylesforde, Aylesforth, Ayllesford
Alarada		Alarada, Laredo
Algare		Algare, Algir
Alkmaar		Alkmaar
Almannia		Almannia, Andeewarp, Andewarp, Andewarpe, Andewerpe, Andward, Andwarp, Andwarpe, Andwarpia, Andwarpp, Andwerp, Andwerpe, Andworp, Antwarpe, Antwerp, Anwarpe, Armew, Armewe, Armewth, Armuthe, Arnemoth, Arnemouth, Arnemowth, Arnemuiden, Arramew, Asshe, Bajona, Bayon, Bayona, Bayonne, Bentley, Bergen op Zoom, Bergh, Berwe up Sond, Berwick upon Tweed, Boston, Brecon, Brekelsey, Brekilsey, Brekylsey, Brickelsey, Bridgwater, Brightlingsea, Brikelsey, Brikilsey, Brikkelsey, Briklesse, Briklessey, Brikylsey, Bristol, Bristollia, Brykelsay, Brykelsee, Brykelsey, Brykelseye, Brykesley, Brykilsey, Brykkelsey, Brykkylsey, Bryklessey, Brykylsay, Brykylsey, Burdegala, Caen, Calais, Calecia, Cales, Calesia, Caleys, Calicia, Calis, Calisia, Callis, Cane, Cardigan, Castelond, Caudebek, Cawldebek, Chereborgh, Cinque Ports, Cleveland, Colayn,, Colcester, Colcestre, Colcestria, Colchester, Colchestre, Colchestur, Coleyn, Cologne, Colonia, consilio, Cornwall, Cosyche, Dansk, Danske, Dansske, Danzig, Dartmouth, Dartmowth, Deal, Dele, Dertmouth, Doncastre, Donwic, Donwyche, Dounwhich, Dounwych, Dunkerk, Dunkirk, Dunkyrk, Dunkyrke, Dunwich, Dunwiche, Dunwych, Dunwyche, Durham, Eborum, Ermoth, Ermothe, Ermouth, Ermuth, Ernemeuth, Ernemouth, Exeter, Faversham, Feveresham, Feveressham, Feversham, Flanders, Flandria, Flaundres, Flisschyng, Flisshing, Flisshyng, Flisshynge, Flissing, Flissyng, Flushing, Flusshyng, Flussyng, Flusyng, Flyshing, Flyshyng, Flysshing, Flysshing in Zelandia, Flysshyng, Flyssyng, Fowey, Fowy, Fowye, France, Gatall', George, Gouda, Gowe, Gravesend, Gravesende, Gravisende, Gravishende, Grimsby, Grymesby, Grymmesby, Grymmysby, Grymsby, Haddley, Hadleigh, Hadley, Hamburg, Hamburgh, Hampton, Hamton, Hamtun, Handewarpe, Hardwik, Hareflete, Harflete, Harlow, Hispania, Holand, Holandia, Holland, Housdowne in Holandia, Hull, Hulle, Hull’, Hunflett, Ireland, Italy, Kane, King's Lynn, Kings Lynn, Kingston upon Hull, King’s Lynn, Kyngesdon, la Ware, Lancaster, le Scluse, Lescluse, lEscluse, London, London', London,, London’, Lubik, Lyn, Lyne, Lynn, Lynne, lyse Jur', Lübeck, Malden, Maldon, Marrok, Maulden, Medylburgh, Middelborgh, Middelborough, Middelborowgh, Middelburg, Middelburgh, Middilburgh, Midelborough, Midelbourgh, Midelburgh, Morteyn, Mounferaunt, Myddelburgh, Naunte, Nauntt, Neuport, Neuwythe, New Hythe, Newebo, Newehith, Newehithe, Neweport, Newhide, Newhight, Newhith, Newhithe, Newhyth, Newhythe, Newhyve, Newport, Newport in Flandria, Newporte, Nieuwpoort, Nieuwport, Normandy, Oporto, Parys, Pasajes, Passage, Passagio, Passagy, patrono, Poole, Poorto, Port, Porte, Portingalia, Portingalle, Porto, Portugal, Portugalis, Portygal, Portygale, Portyngale, Ratcliff, Ratclyff, Ratclyffe, Rateclyffe, Redclyf, Redecliff, Richmond, Roan, Roand, Rochester, Rochestre, Rochestyr, Roen, Rone, Roon, Roone, Rothemago, Rothomago, Rouchester, Rouchestre, Rouen, Rowchester, Rutland, Sabastian, Sandewhich, Sandewich, Sandewiche, Sandewico, Sandewych, Sandewyche, Sandwich, Sandwiche, Sandwico, Sandwych, Sandwyche, Saundewych, Scleuse, Scluce, Scluse, Seint Severayn, Seynt Vincent, Shrewsbury, Skleuse, Sklewse, Slewis, Sluis, Sneythe, Sondwyche, Southampton, Southamptonia, Southwald, Spain, Spayne, Stafford, Stanby, Surrey, Suthamptonia, Tarrant Launceston, Tergowe, Thorphith, Torre, Tour, Toure, Tower, Tower of London, Towr, Tregowe, Turre, Turre London’, Vlissingen, Vlissyng, Wales, Walmere, Whitechapel, Wijk aan Zee, Wike, Wike aan Zee, Winchelse, Winchelsea, Wyk in Holandia, Wyke, Wyke in Holandia, Wyke up See, Wynchelse, Wynchelsey, Wynchelsse, Wynchylse, Yarmouth, Yermoth, Yermouth, Yermouthe, —
Amble		Amble
Amsterdam		Amsterdam
Andarowe		Andarowe, Andarro
Antiqua		Antiqua, Contes, Felsham, Ferrara, Not localizable, Pago, Trymley
Applesencia		Applesencia, Placencia, Placente, Placentia, Plasencia, Plesaunce
Aquitaine		Aquitaine
Aragosa		Aragosa, Aragusa, Arogustia, de Aragusa, Ragusa, Ragusa
Aramore		Aramore
Arenterea		Arenterea, Arentria, ByscoyeRenteria, Christoferus, la Renterea, la Renteria, Renderie, Rendre, Renterea, Renterea in Spain, Renteria, Renterian, Rentire, Rentorea, Rentria, Rentária
Armewthe		Armewthe
Armone		Armone
Arramoa		Arramoa
Arundel		Arundel, Arundell
Ash		Ash
Audierne		Audierne, Odierne, Oldierne
Avermew		Avermew
Awst		Awst
Ayleworthe		Ayleworthe
Barking		Barking, Barkyng, Berkyng
Barling		Barling, Berlyng
Barmeo		Barmeo, Barmewe, Bermeo, Vermeo, Vermew
Barough		Barough, Barow, Barowe, Barowgh, Bergen-op-Zoom, Borough
Bay		Bay, Bay of Bourgneuf, Baye, Baye of Bourgneuf
Begona		Begona
Begonia		Begonia
Beneflete		Beneflete, Benflet, Benflete, South Beneflete, South Benfleet, Southbeaneflete
Bereflete		Bereflete, Biervliet
Bilbao		Bilbao, Bilbaw, Bilbow, Bilbowe, Bylbow, Bylbowe
Birdux		Birdux, Bordeaux, Burdeux
Biske		Biske
Bitans		Bitans
Blakeney		Blakeney
