Canonical_Ship_Name	Merge_Into	Ship_Names
..		..
Adam		Adam
Adrian		Adrian
Adryan		Adryan
Albert		Albert
Albright		Albright
Alfonsina		Alfonsina
Alicia		Alicia
alienigena		alienigena
Alys		Alys
Alyson		Alyson
Amelyn		Amelyn
Andrea		Andrea
Andreas		Andreas
Andreas Turnebulle		Andreas Turnebulle
Andreus		Andreus
Andrew		Andrew
Andrewe		Andrewe
Angell		Angell
Angelle		Angelle
Anna		Anna
Anna Boneventure		Anna Boneventure
Anna Dobbes		Anna Dobbes
Anna Fortune		Anna Fortune
Anna Fraunces		Anna Fraunces
Anna Galand		Anna Galand
Anna Galant		Anna Galant
Anna Galaunt		Anna Galaunt
Anne		Anne
Anne Gallant		Anne Gallant
Anthoni		Anthoni
Anthoni Ryalle		Anthoni Ryalle
Anthonius		Anthonius
Anthony		Anthony
Anthonye		Anthonye
Antonius		Antonius
Antonius Magnus		Antonius Magnus
Antony		Antony
Antony de Seynt Pole		Antony de Seynt Pole
Antony Guybons		Antony Guybons
Antony Gybons		Antony Gybons
Antoyne		Antoyne
Asse		Asse
Aungell		Aungell
balestrerius de galea		balestrerius de galea
Barbara		Barbara
Barbera van		Barbera van
Barbor		Barbor
Barge		Barge
Barke		Barke
Barker		Barker
Barnaby		Barnaby
Bartholomeus		Bartholomeus
Bartilmew		Bartilmew
Bartylmewe		Bartylmewe
Bastyan		Bastyan
Beholde Inrese		Beholde Inrese
Beholdemede		Beholdemede
Belle		Belle
Benbathe		Benbathe
Bere		Bere
Bernardus		Bernardus
Beronica		Beronica
Blak Barge		Blak Barge
Blak Bark		Blak Bark
Blak George		Blak George
Blitha		Blitha
Blithe		Blithe, Blythe
Blyght		Blyght
Blyth		Blyth
Bona Gracia		Bona Gracia
Bona Ventura		Bona Ventura
Bonaventur		Bonaventur
Bonaventure		Bonaventure
Bonavetur		Bonavetur
Bone Jesu		Bone Jesu
Bone Jhesu		Bone Jhesu
Bone Johan		Bone Johan
Bride		Bride
Brigida		Brigida
Burnet		Burnet
Calenge		Calenge
camerarius		camerarius
Capella		Capella
carraca		carraca
Carvelle		Carvelle
Catelyna		Catelyna
Caysenner		Caysenner
Cecilia		Cecilia
Cecyly		Cecyly
Christ		Christ
Christe		Christe, Crist, Cryst
Christofer		Christofer, Cristofer
Christofer Horne		Christofer Horne
Christofer Howard		Christofer Howard
Christoferus		Christoferus, Cristoferus
Christoferus Bonaventur		Christoferus Bonaventur
Christofor		Christofor, Christofre, Cristoffre, Cristofor, Cristofre
Christofore		Christofore, Cristoffore, Cristofore
Christoforus		Christoforus, Cristoforus
Christofur		Christofur
Christofure		Christofure
Christofyr		Christofyr, Cristofere
Christus		Christus, Cristus
Clemens		Clemens
Clement		Clement
Clere		Clere
Clethen		Clethen
Cok Johan		Cok Johan
Cok John		Cok John
Come Wille to House		Come Wille to House
comes		comes
Comewell to Heus		Comewell to Heus
Comeweltews		Comeweltews
Comeweltoheus		Comeweltoheus
Comeweltohous		Comeweltohous
Comweltoheus		Comweltoheus
Concepcio Beate Marie		Concepcio Beate Marie
Conception		Conception, Conseption
Consepcion		Consepcion
Conzesion		Conzesion
Corpus Sancti		Corpus Sancti
Corpus Sanctus		Corpus Sanctus
Corve		Corve
Cressenour		Cressenour
Crispo		Crispo
Cristoferus Adryan		Cristoferus Adryan
Crokenbrowe		Crokenbrowe
Cruces		Cruces
Crusyfyx		Crusyfyx
Cutbert		Cutbert
Cuthbert		Cuthbert
Cuthbertus		Cuthbertus
D..		D..
David		David
Davy		Davy
De Gisbright Christofer		De Gisbright Christofer
de le Port		de le Port
decanus		decanus
decanus Sancti Andree		decanus Sancti Andree
Dionisia		Dionisia
Doblere		Doblere
dominus		dominus
Dorothe		Dorothe
Dove		Dove
Dragon		Dragon
Drinkalew		Drinkalew
Drinkallewte		Drinkallewte
Drynkwyn		Drynkwyn
E..		E..
Edmond		Edmond
Edmundus		Edmundus
Edward		Edward
Edwarde		Edwarde
Edwardus		Edwardus
Egle		Egle
Ele..tus		Ele..tus
Elen		Elen, Elen’, Ellen
Elena		Elena
Elizabet		Elizabet
Elizabeth		Elizabeth
Elizabetha		Elizabetha
Ellene		Ellene
Ellin		Ellin, Elyn
Elline		Elline
Elsobert		Elsobert
Elysobeth		Elysobeth
Enemer		Enemer
Ensed		Ensed
Erasimus		Erasimus
Erasmus		Erasmus
Erasymus		Erasymus
Evonett		Evonett
Ewdo..		Ewdo..
Ewod		Ewod
Fastelavene		Fastelavene
Fastelawyn		Fastelawyn
Fawcon		Fawcon
Fawkyn		Fawkyn
Fe..		Fe..
Flower		Flower
Flowre		Flowre
Flyer		Flyer
Fortune		Fortune
Fortunethe		Fortunethe
Forvane		Forvane
Franciscus		Franciscus
Fraunces		Fraunces
Fraunceys		Fraunceys
Fraunciscus		Fraunciscus
Friday		Friday
Fryday		Fryday
Fuller		Fuller
Fynknest		Fynknest
Gabrell		Gabrell
Gabriel		Gabriel
Gabriele		Gabriele
Gabriell		Gabriell
Gabrielle		Gabrielle
Gabrielle Tate		Gabrielle Tate
Gabriellus		Gabriellus
Gabryelle		Gabryelle
Galyon		Galyon
Galyon Common		Galyon Common
Gartrude		Gartrude
Gastehous		Gastehous
Gasthows		Gasthows
Gasylle		Gasylle
Gelyan		Gelyan
Genet		Genet, Jennett
Georg		Georg
Georg dAnwarp		Georg dAnwarp
George		George
George Bone Adventure		George Bone Adventure
George Heron		George Heron
Georgeus		Georgeus
Georgius		Georgius
Georgius Bonaventure		Georgius Bonaventure
Georgius Bone Venture		Georgius Bone Venture
Georgius Martyn		Georgius Martyn
Georgius Wyndesore		Georgius Wyndesore
Gertrud		Gertrud
Gervasius		Gervasius
Gillam		Gillam
Gilys		Gilys
Godberade		Godberade
Goddesrade		Goddesrade
Goddysknyt de le Castelle		Goddysknyt de le Castelle
Godeffriday		Godeffriday
Godefrend		Godefrend
Godesknyght		Godesknyght
Godewill		Godewill, Godewille, Godewyll
Gods Grace		Gods Grace
Good Grace		Good Grace, Goode Grace
Good Helpe		Good Helpe
Goodewill		Goodewill
Goodgrace		Goodgrace
Goost		Goost
Gost		Gost
